序号,代码,名称,营业收入,同比增长,净利润,同比增长,基本每股收益,每股净资产,净资产收益率,公告日期
261,300472,新元科技,5.36亿,74.29%,"7,030.98万",222.62%,0.59,8.56,6.39%,2019-02-28
262,002855,捷荣技术,22.03亿,44.96%,"3,198.09万",-38.52%,0.13,5.08,2.65%,2019-02-28
263,300476,胜宏科技,33.32亿,--,4.01亿,--,0.52,3.89,14.27%,2019-02-28
264,300634,彩讯股份,7.63亿,--,1.58亿,--,0.41,3.10,14.37%,2019-02-28
265,002852,道道全,36.00亿,9.01%,2.20亿,15.20%,0.76,7.27,10.96%,2019-02-28
266,002868,绿康生化,3.44亿,-8.29%,"7,468.94万",-13.08%,0.62,6.17,10.44%,2019-02-28
267,002870,香山股份,9.32亿,0.08%,"3,756.71万",-47.20%,0.34,7.57,4.58%,2019-02-28
268,002821,凯莱英,18.35亿,28.94%,4.28亿,24.29%,1.88,10.88,19.43%,2019-02-28
269,300501,海顺新材,5.07亿,35.03%,"6,616.51万",-0.44%,0.66,6.39,10.58%,2019-02-28
270,300664,鹏鹞环保,7.79亿,-3.59%,1.74亿,-19.93%,0.37,6.32,5.94%,2019-02-28
271,002928,华夏航空,42.60亿,--,2.47亿,--,0.63,5.30,13.07%,2019-02-28
272,300675,建科院,4.83亿,26.66%,"3,419.02万",0.76%,0.23,3.02,7.94%,2019-02-28
273,300621,维业股份,23.70亿,21.22%,"6,857.26万",-12.17%,0.34,4.13,8.32%,2019-02-28
274,002789,建艺集团,28.94亿,18.56%,"9,889.87万",4.78%,0.72,9.09,8.14%,2019-02-28
275,002856,美芝股份,9.56亿,1.14%,"2,755.46万",-35.87%,0.23,5.45,4.15%,2019-02-28
276,002822,中装建设,41.32亿,31.28%,1.68亿,2.27%,0.28,3.62,8.01%,2019-02-28
277,002872,*ST天圣,21.71亿,-3.80%,1.48亿,-40.85%,0.47,10.15,4.66%,2019-02-28
278,300486,东杰智能,7.01亿,38.35%,"6,384.84万",63.52%,0.41,6.81,6.55%,2019-02-28
279,002921,联诚精密,6.65亿,9.14%,"4,496.15万",-3.91%,0.56,8.40,6.77%,2019-02-28
280,002779,中坚科技,4.16亿,-6.11%,"1,177.47万",-54.99%,0.09,4.83,1.85%,2019-02-28
281,300588,熙菱信息,6.52亿,-18.25%,"2,536.71万",-68.40%,0.16,2.43,5.02%,2019-02-28
282,300469,信息发展,7.16亿,27.40%,"4,328.50万",30.39%,0.35,3.70,8.87%,2019-02-28
283,300462,华铭智能,2.64亿,9.58%,"5,401.94万",19.22%,0.39,4.56,8.90%,2019-02-28
284,002833,弘亚数控,11.92亿,45.91%,2.83亿,20.71%,2.09,8.64,26.35%,2019-02-28
285,002915,中欣氟材,4.39亿,9.58%,"3,618.07万",-23.47%,0.32,4.22,7.81%,2019-02-28
286,002831,裕同科技,85.80亿,23.44%,9.45亿,1.36%,2.36,14.12,17.70%,2019-02-28
287,300475,聚隆科技,3.07亿,-36.00%,"3,341.46万",-63.28%,0.17,6.11,2.75%,2019-02-28
288,002820,桂发祥,4.81亿,-1.12%,"8,412.66万",-9.16%,0.41,5.29,7.97%,2019-02-28
289,300404,博济医药,1.71亿,30.42%,864.83万,--,0.06,3.09,2.11%,2019-02-28
290,300441,鲍斯股份,15.08亿,35.31%,1.21亿,-20.29%,0.18,2.35,8.04%,2019-02-28
291,300450,先导智能,38.90亿,78.70%,7.42亿,38.13%,1.06,3.90,23.95%,2019-02-28
292,300758,七彩化学,6.11亿,--,1.05亿,--,1.32,6.44,22.79%,2019-02-28
293,300460,惠伦晶体,3.19亿,-12.19%,"-2,221.83万",-196.75%,-0.13,3.90,-3.63%,2019-02-28
294,002770,科迪乳业,12.85亿,3.76%,1.29亿,0.60%,0.12,1.62,7.48%,2019-02-28
295,002766,*ST索菱,14.82亿,-3.41%,-3.58亿,-329.54%,-0.85,3.48,-21.05%,2019-02-28
296,300578,会畅通讯,2.25亿,-14.18%,"1,833.12万",-44.85%,0.14,2.41,6.24%,2019-02-28
297,002775,文科园林,28.49亿,11.06%,2.52亿,3.02%,0.52,4.89,11.55%,2019-02-28
298,300641,正丹股份,12.10亿,1.99%,"6,062.22万",-44.55%,0.12,2.67,4.62%,2019-02-28
299,300626,华瑞股份,8.50亿,1.83%,"4,472.01万",-21.62%,0.32,2.89,8.90%,2019-02-28
300,300556,丝路视觉,7.23亿,40.99%,"5,699.40万",126.07%,0.51,4.06,13.04%,2019-02-28
301,002816,和科达,3.45亿,-0.78%,647.55万,-63.37%,0.06,5.27,1.23%,2019-02-28
302,002837,英维克,10.35亿,--,1.06亿,--,0.51,5.02,12.91%,2019-02-28
303,300439,美康生物,31.33亿,75.69%,2.45亿,15.75%,0.71,5.40,11.19%,2019-02-28
304,300464,星徽精密,7.20亿,35.83%,575.38万,-68.86%,0.03,6.81,1.13%,2019-02-28
305,002873,新天药业,6.94亿,1.76%,"7,097.55万",6.74%,0.61,5.63,10.91%,2019-02-28
306,300465,高伟达,15.92亿,19.12%,1.05亿,182.83%,0.23,2.65,9.28%,2019-02-28
307,300433,蓝思科技,277.06亿,16.61%,7.04亿,-66.81%,0.18,4.36,4.17%,2019-02-28
308,300432,富临精工,14.79亿,-36.49%,-23.27亿,-670.99%,-4.62,3.67,-82.99%,2019-02-28
309,300528,幸福蓝海,16.55亿,9.08%,-5.33亿,-572.77%,-1.43,3.64,-32.51%,2019-02-28
310,300423,鲁亿通,30.31亿,"1,048.13%",4.51亿,"1,530.26%",1.65,9.90,19.09%,2019-02-28
311,002758,华通医药,15.23亿,11.88%,"3,456.33万",-16.65%,0.16,3.03,5.90%,2019-02-28
312,300420,五洋停车,10.15亿,34.62%,1.38亿,68.44%,0.19,2.17,9.20%,2019-02-28
313,300459,金科文化,27.20亿,96.28%,8.32亿,113.57%,0.42,3.43,10.95%,2019-02-28
314,603017,中衡设计,18.56亿,--,1.66亿,--,0.60,6.39,9.50%,2019-02-28
315,002780,三夫户外,4.20亿,20.02%,502.87万,--,0.04,5.70,0.79%,2019-02-28
316,002749,国光股份,8.65亿,17.37%,2.34亿,26.15%,1.08,4.32,26.80%,2019-02-28
317,002781,奇信股份,49.98亿,27.66%,1.74亿,10.72%,0.77,8.65,9.37%,2019-02-28
318,002759,天际股份,8.61亿,0.84%,"8,386.51万",276.39%,0.19,7.54,2.49%,2019-02-28
319,300422,博世科,27.19亿,85.11%,2.33亿,57.60%,0.66,4.30,18.15%,2019-02-28
320,300749,顶固集创,8.31亿,--,"7,699.09万",--,0.68,6.49,16.88%,2019-02-28
321,002785,万里石,11.38亿,23.26%,"1,132.50万",--,0.06,3.28,1.75%,2019-02-28
322,300417,南华仪器,1.53亿,-17.99%,"2,785.10万",-25.13%,0.34,4.93,6.55%,2019-02-28
323,300411,金盾股份,5.54亿,23.04%,-17.90亿,"-2,348.66%",-3.77,3.37,-71.62%,2019-02-28
324,300393,中来股份,27.42亿,-15.44%,1.30亿,-53.42%,0.54,10.42,5.06%,2019-02-28
325,002752,昇兴股份,21.17亿,2.93%,"4,679.84万",-52.24%,0.06,2.16,2.60%,2019-02-28
326,002740,爱迪尔,18.75亿,--,"3,553.19万",--,0.12,4.46,2.43%,2019-02-28
327,300392,腾信股份,13.95亿,-14.13%,"2,033.12万",--,0.05,1.29,-6.01%,2019-02-28
328,002725,跃岭股份,9.67亿,23.61%,"4,692.78万",192.45%,0.18,3.73,5.03%,2019-02-28
329,002732,燕塘乳业,12.97亿,4.85%,"4,203.23万",-65.03%,0.27,5.70,4.55%,2019-02-28
330,002716,金贵银业,105.13亿,-7.05%,1.38亿,-49.38%,0.14,3.87,3.87%,2019-02-28
331,300341,麦克奥迪,9.79亿,22.87%,1.44亿,11.82%,0.28,1.69,14.70%,2019-02-28
332,002714,牧原股份,133.88亿,--,5.20亿,--,0.17,5.89,2.84%,2019-02-28
333,300382,斯莱克,7.40亿,38.89%,1.43亿,3.49%,0.25,1.82,13.60%,2019-02-28
334,002860,星帅尔,4.09亿,15.28%,"9,682.61万",8.94%,0.84,6.10,13.96%,2019-02-28
335,002708,光洋股份,13.58亿,-7.05%,"-9,579.08万",-893.62%,-0.20,3.00,-6.56%,2019-02-28
336,002792,通宇通讯,12.82亿,-18.31%,"4,627.05万",-61.06%,0.20,8.63,2.32%,2019-02-28
337,002719,麦趣尔,6.13亿,5.81%,-1.64亿,-969.86%,-0.94,5.63,-15.00%,2019-02-28
338,300352,北信源,5.62亿,9.70%,"9,341.73万",0.02%,0.06,1.58,4.13%,2019-02-28
339,300387,富邦股份,5.81亿,10.13%,"7,172.68万",2.86%,0.28,3.90,7.51%,2019-02-28
340,002722,金轮股份,22.80亿,9.82%,1.21亿,32.29%,0.69,10.44,6.78%,2019-02-28
341,002773,康弘药业,29.17亿,4.70%,6.95亿,7.88%,1.04,6.06,18.38%,2019-02-28
342,002735,王子新材,9.11亿,52.36%,"4,947.15万",28.10%,0.59,6.89,8.85%,2019-02-28
343,002739,万达电影,141.01亿,6.89%,12.93亿,-14.18%,0.73,7.14,10.63%,2019-02-28
344,300347,泰格医药,22.91亿,36.58%,4.76亿,56.12%,0.95,5.36,17.83%,2019-02-28
345,300507,苏奥传感,6.67亿,10.82%,"9,268.16万",-6.90%,0.77,7.77,10.23%,2019-02-28
346,002742,三圣股份,28.65亿,50.49%,1.16亿,-35.67%,0.27,3.50,7.81%,2019-02-28
347,300428,四通新材,67.55亿,488.64%,3.99亿,280.46%,0.77,5.50,15.17%,2019-02-28
348,300351,永贵电器,13.50亿,4.95%,-4.34亿,-338.34%,-1.13,6.14,-16.76%,2019-02-28
349,002753,永东股份,25.87亿,30.31%,2.78亿,17.42%,0.83,4.42,20.60%,2019-02-28
350,002905,金逸影视,20.10亿,-8.23%,1.59亿,-24.43%,0.59,7.23,8.32%,2019-02-28
351,002712,思美传媒,52.83亿,27.64%,"3,152.18万",-86.43%,0.05,5.69,0.96%,2019-02-28
352,002746,仙坛股份,25.78亿,19.12%,4.02亿,281.95%,1.30,7.92,17.65%,2019-02-28
353,002755,奥赛康,39.30亿,974.02%,6.68亿,"5,979.05%",0.88,1.99,42.48%,2019-02-28
354,300369,绿盟科技,13.45亿,6.80%,1.68亿,10.65%,0.21,3.89,5.63%,2019-02-28
355,300355,蒙草生态,38.26亿,-31.30%,2.08亿,-75.70%,0.13,2.29,5.71%,2019-02-28
356,002747,埃斯顿,14.86亿,37.71%,1.05亿,10.46%,0.13,1.95,6.67%,2019-02-28
357,300323,华灿光电,27.31亿,3.84%,2.41亿,-51.97%,0.24,5.37,4.70%,2019-02-28
358,002707,众信旅游,122.31亿,1.74%,"2,344.67万",-89.83%,0.03,2.68,0.98%,2019-02-28
359,300349,金卡智能,20.40亿,20.90%,4.98亿,43.53%,1.18,8.12,15.38%,2019-02-28
360,300385,雪浪环境,9.60亿,17.32%,"4,772.89万",-21.28%,0.37,8.78,4.25%,2019-02-28
361,300413,芒果超媒,96.58亿,223.67%,8.93亿,"1,131.57%",0.95,5.72,17.94%,2019-02-28
362,300365,恒华科技,11.84亿,38.35%,2.72亿,39.87%,0.68,4.52,15.90%,2019-02-28
363,002687,乔治白,10.05亿,28.68%,1.12亿,46.73%,0.31,3.12,10.76%,2019-02-28
364,002711,*ST欧浦,48.89亿,-29.37%,-41.80亿,"-2,089.81%",-3.96,-2.39,0.00%,2019-02-28
365,002701,奥瑞金,81.75亿,11.33%,2.25亿,-68.26%,0.10,2.30,4.11%,2019-02-28
366,300338,开元股份,14.64亿,49.15%,1.11亿,-31.12%,0.32,6.46,5.03%,2019-02-28
367,002689,远大智能,12.35亿,4.73%,936.40万,-73.67%,0.01,1.31,0.61%,2019-02-28
368,002679,福建金森,1.69亿,-3.61%,"4,968.69万",-15.24%,0.21,3.23,6.43%,2019-02-28
369,300336,新文化,8.13亿,-34.06%,"3,036.83万",-87.67%,0.04,3.70,1.02%,2019-02-28
370,002838,道恩股份,13.23亿,40.98%,1.24亿,31.59%,0.50,3.75,13.87%,2019-02-28
371,300746,汉嘉设计,9.45亿,--,"7,564.29万",--,0.40,4.34,9.76%,2019-02-28
372,002692,远程股份,30.00亿,16.61%,-3.67亿,-599.01%,-0.51,1.56,-27.96%,2019-02-28
373,002682,龙洲股份,68.62亿,43.91%,1.68亿,0.68%,0.30,5.06,6.03%,2019-02-28
374,002685,华东重机,99.47亿,95.55%,3.11亿,129.57%,0.31,4.59,6.93%,2019-02-28
375,002699,美盛文化,7.78亿,-14.84%,-2.30亿,-200.58%,-0.25,3.65,-6.76%,2019-02-28
376,002665,首航节能,6.21亿,-53.32%,-7.52亿,-903.47%,-0.30,2.61,-10.71%,2019-02-28
377,002691,冀凯股份,4.17亿,3.59%,"1,459.19万",49.15%,0.04,2.58,1.68%,2019-02-28
378,002671,龙泉股份,9.99亿,2.38%,"-9,484.88万",-267.41%,-0.20,4.24,-4.64%,2019-02-28
379,300311,任子行,12.11亿,12.21%,1.52亿,0.12%,0.23,2.03,11.48%,2019-02-28
380,002799,环球印务,5.55亿,26.68%,"2,801.55万",18.02%,0.19,3.62,5.26%,2019-02-28
381,002670,国盛金控,12.07亿,-35.56%,-5.38亿,-192.73%,-0.28,5.90,-4.44%,2019-02-28
382,300320,海达股份,21.30亿,--,1.62亿,--,0.28,2.49,12.68%,2019-02-28
383,300371,汇中股份,2.80亿,13.42%,"8,120.12万",24.46%,0.69,5.17,13.60%,2019-02-28
384,002660,茂硕电源,13.38亿,-19.32%,-2.50亿,"-1,923.00%",-0.91,2.05,-34.47%,2019-02-28
385,300755,华致酒行,27.21亿,--,2.30亿,--,1.32,7.79,18.53%,2019-02-28
386,002658,雪迪龙,12.95亿,19.41%,1.79亿,-16.75%,0.30,3.51,8.72%,2019-02-28
387,002669,康达新材,9.28亿,68.78%,"8,095.61万",82.95%,0.34,7.94,4.82%,2019-02-28
388,002654,万润科技,45.77亿,50.45%,-11.34亿,-933.09%,-1.29,2.23,-44.64%,2019-02-28
389,002666,德联集团,37.53亿,25.91%,1.59亿,-2.31%,0.21,3.96,5.43%,2019-02-28
390,002650,加加食品,17.89亿,-5.41%,1.20亿,-25.25%,0.10,1.89,5.66%,2019-02-28
391,002652,扬子新材,27.40亿,-2.09%,"3,960.44万",-47.50%,0.08,1.44,5.26%,2019-02-28
392,002662,京威股份,54.07亿,-4.94%,1.01亿,-69.28%,0.07,3.46,1.97%,2019-02-28
393,300483,沃施股份,3.39亿,--,503.17万,--,0.08,23.38,1.26%,2019-02-28
394,002667,鞍重股份,1.85亿,1.91%,"1,237.50万",-47.46%,0.05,3.32,1.62%,2019-02-28
395,300364,中文在线,8.90亿,24.97%,-14.69亿,"-2,018.00%",-1.95,2.88,-56.11%,2019-02-28
396,002656,摩登大道,15.63亿,69.28%,"7,573.08万",-43.59%,0.11,3.44,3.16%,2019-02-28
397,002649,博彦科技,28.83亿,28.10%,2.19亿,0.70%,0.42,4.61,9.67%,2019-02-28
398,002664,长鹰信质,26.31亿,9.39%,2.60亿,2.71%,0.65,5.41,12.72%,2019-02-28
399,002819,东方中科,9.30亿,25.81%,"4,604.30万",101.79%,0.40,3.94,10.10%,2019-02-28
400,002684,*ST猛狮,11.72亿,-69.59%,-21.87亿,--,-3.85,0.90,-136.68%,2019-02-28
401,300408,三环集团,37.50亿,19.75%,13.17亿,21.40%,0.76,4.01,19.91%,2019-02-28
402,002922,伊戈尔,10.89亿,-5.41%,"4,227.82万",-45.79%,0.32,6.78,4.77%,2019-02-28
403,002767,先锋电子,2.89亿,-6.71%,"2,582.05万",-44.32%,0.17,4.77,3.67%,2019-02-28
404,300324,旋极信息,38.17亿,13.66%,"3,818.11万",-90.04%,0.02,2.80,0.77%,2019-02-28
405,300629,新劲刚,2.11亿,-15.65%,897.24万,-63.55%,0.09,3.52,2.53%,2019-02-28
406,002638,勤上股份,12.49亿,-22.30%,-13.59亿,"-1,580.68%",-0.89,2.51,-35.70%,2019-02-28
407,002646,青青稞酒,13.74亿,4.24%,1.09亿,--,0.24,5.31,4.65%,2019-02-28
408,002639,雪人股份,13.17亿,40.66%,"1,623.10万",--,0.02,3.34,0.73%,2019-02-28
409,002632,道明光学,12.09亿,48.00%,2.40亿,77.07%,0.38,3.25,12.44%,2019-02-28
410,002635,安洁科技,35.57亿,31.02%,5.78亿,47.75%,0.78,9.46,8.42%,2019-02-28
411,300293,蓝英装备,17.42亿,29.14%,"1,710.24万",137.88%,0.06,2.93,2.30%,2019-02-28
412,300280,紫天科技,6.68亿,83.20%,"7,797.15万","1,984.20%",0.57,8.37,8.02%,2019-02-28
413,002633,申科股份,1.62亿,-7.05%,406.49万,-22.21%,0.03,3.50,0.78%,2019-02-28
414,002631,德尔未来,17.68亿,10.49%,1.03亿,20.36%,0.16,2.48,6.46%,2019-02-28
415,002640,跨境通,215.94亿,54.25%,6.01亿,-19.98%,0.39,4.68,9.19%,2019-02-28
416,002731,萃华珠宝,26.93亿,-1.98%,"3,189.66万",-49.59%,0.21,7.98,2.62%,2019-02-28
417,002637,赞宇科技,70.64亿,0.86%,1.78亿,4.28%,0.43,5.35,8.08%,2019-02-28
418,002625,光启技术,4.63亿,22.23%,"6,695.78万",-18.54%,0.03,3.52,0.89%,2019-02-28
419,002621,美吉姆,2.75亿,54.45%,"3,058.92万",60.19%,0.08,3.46,2.45%,2019-02-28
420,002624,完美世界,80.36亿,1.17%,17.03亿,13.11%,1.30,6.50,20.37%,2019-02-28
421,300262,巴安水务,11.23亿,12.39%,1.25亿,-19.36%,0.19,3.37,5.69%,2019-02-28
422,002612,朗姿股份,26.62亿,13.07%,2.09亿,9.02%,0.52,6.98,7.55%,2019-02-28
423,300270,中威电子,3.07亿,-24.56%,"-3,176.28万",-165.60%,-0.11,3.41,-3.72%,2019-02-28
424,300522,世名科技,3.33亿,16.93%,"6,768.29万",22.13%,0.56,5.26,11.10%,2019-02-28
425,002611,东方精工,66.68亿,41.68%,-34.24亿,-795.36%,-1.86,2.42,-57.75%,2019-02-28
426,300261,雅本化学,18.06亿,49.33%,1.61亿,132.58%,0.20,2.07,8.18%,2019-02-28
427,002610,爱康科技,49.00亿,0.33%,1.22亿,16.48%,0.03,1.30,2.14%,2019-02-28
428,002618,丹邦科技,3.48亿,9.84%,"3,143.27万",23.88%,0.06,3.17,1.83%,2019-02-28
429,002717,岭南股份,86.57亿,80.48%,7.67亿,47.40%,0.76,4.39,19.11%,2019-02-28
430,300259,新天科技,8.55亿,14.82%,1.49亿,-4.61%,0.13,1.64,7.87%,2019-02-28
431,002830,名雕股份,7.66亿,2.80%,"4,403.96万",-16.00%,0.33,4.77,7.09%,2019-02-28
432,300255,常山药业,16.53亿,16.37%,1.40亿,-29.39%,0.15,2.69,5.86%,2019-02-28
433,002620,瑞和股份,36.15亿,20.24%,1.49亿,9.27%,0.41,6.04,6.98%,2019-02-28
434,002603,以岭药业,48.15亿,15.75%,5.98亿,9.41%,0.50,6.27,8.12%,2019-02-28
435,300248,新开普,8.38亿,8.84%,"9,652.72万",-19.55%,0.20,3.59,6.85%,2019-02-28
436,300250,初灵信息,4.16亿,-7.92%,-3.02亿,-470.07%,-1.31,5.32,-20.80%,2019-02-28
437,300246,宝莱特,8.14亿,14.36%,"6,384.74万",10.98%,0.44,3.85,11.88%,2019-02-28
438,002602,世纪华通,80.74亿,130.59%,10.06亿,25.32%,0.44,5.86,7.58%,2019-02-28
439,002607,中公教育,62.37亿,-6.42%,11.53亿,"1,382.56%",0.22,0.48,71.89%,2019-02-28
440,300242,佳云科技,56.09亿,106.61%,-12.52亿,-716.94%,-1.97,1.62,-75.09%,2019-02-28
441,300241,瑞丰光电,15.62亿,-2.87%,"8,737.13万",-33.54%,0.17,2.42,6.94%,2019-02-28
442,002598,山东章鼓,9.41亿,34.26%,"8,463.80万",21.76%,0.27,2.69,10.61%,2019-02-28
443,002596,海南瑞泽,31.32亿,8.84%,1.22亿,-30.99%,0.12,2.87,4.09%,2019-02-28
444,002605,姚记扑克,9.39亿,41.71%,1.22亿,61.38%,0.31,4.50,7.44%,2019-02-28
445,002778,高科石化,6.89亿,19.90%,"1,879.79万",-38.72%,0.21,7.08,2.99%,2019-02-28
446,002588,史丹利,56.93亿,7.33%,2.09亿,-23.00%,0.18,3.73,4.94%,2019-02-28
447,002589,瑞康医药,339.13亿,45.43%,6.36亿,-36.92%,0.42,5.52,7.89%,2019-02-28
448,002585,双星新材,38.58亿,26.11%,3.21亿,333.54%,0.28,6.66,4.26%,2019-02-28
449,300249,依米康,13.63亿,8.94%,"4,015.84万",-55.40%,0.09,1.78,5.20%,2019-02-28
450,300381,溢多利,17.68亿,14.74%,1.20亿,29.00%,0.29,5.28,6.02%,2019-02-28
451,300653,正海生物,2.16亿,17.92%,"8,581.51万",39.15%,1.07,6.61,17.07%,2019-02-28
452,002590,万安科技,22.58亿,-0.69%,"-3,074.26万",-126.29%,-0.06,3.70,-1.69%,2019-02-28
453,300217,东方电热,22.50亿,30.36%,1.44亿,64.33%,0.11,1.58,7.39%,2019-02-28
454,300225,金力泰,8.09亿,1.38%,"1,189.73万",-74.95%,0.03,1.87,1.34%,2019-02-28
455,300215,电科院,7.09亿,10.27%,1.31亿,3.93%,0.17,2.69,6.50%,2019-02-28
456,300219,鸿利智汇,39.96亿,8.07%,2.05亿,-41.70%,0.29,3.96,6.28%,2019-02-28
457,002584,西陇科学,34.90亿,5.73%,"9,354.87万",1.98%,0.16,3.05,5.38%,2019-02-28
458,300218,安利股份,16.79亿,12.26%,"2,304.16万",--,0.11,4.59,2.34%,2019-02-28
459,300202,聚龙股份,6.23亿,-8.32%,-1.33亿,-307.17%,-0.24,2.91,-7.86%,2019-02-28
460,002576,通达动力,11.57亿,6.65%,"2,119.64万",420.51%,0.13,5.29,2.46%,2019-02-28
461,002572,索菲亚,73.11亿,18.65%,9.59亿,5.91%,1.04,5.25,20.65%,2019-02-28
462,300201,海伦哲,18.10亿,16.54%,"9,901.20万",-34.32%,0.10,1.54,6.64%,2019-02-28
463,002564,天沃科技,79.45亿,-32.04%,"7,286.01万",-65.03%,0.09,4.30,2.18%,2019-02-28
464,002562,兄弟科技,14.14亿,-9.50%,"2,165.70万",-94.62%,0.03,2.58,0.94%,2019-02-28
465,002563,森马服饰,157.16亿,30.66%,16.93亿,51.39%,0.63,4.13,16.01%,2019-02-28
466,300375,鹏翎股份,14.55亿,27.33%,1.18亿,-1.32%,0.33,4.45,7.35%,2019-02-28
467,002577,雷柏科技,4.74亿,-5.27%,786.45万,-56.96%,0.03,4.17,0.66%,2019-02-28
468,002565,顺灏股份,20.56亿,5.34%,1.01亿,-10.14%,0.14,2.97,4.53%,2019-02-28
469,300378,鼎捷软件,13.29亿,8.13%,"7,845.00万",26.52%,0.30,4.95,6.13%,2019-02-28
470,300190,维尔利,20.66亿,45.74%,2.34亿,67.03%,0.29,4.43,6.30%,2019-02-28
471,002698,博实股份,9.17亿,16.33%,1.82亿,40.07%,0.27,3.03,9.13%,2019-02-28
472,300195,长荣股份,13.47亿,14.71%,"8,831.49万",-41.85%,0.21,8.20,2.23%,2019-02-28
473,002574,明牌珠宝,40.91亿,10.89%,"9,666.22万",6.85%,0.18,6.07,3.05%,2019-02-28
474,002559,亚威股份,15.36亿,6.74%,1.07亿,12.36%,0.29,4.35,6.58%,2019-02-28
475,002706,良信电器,15.74亿,8.38%,2.22亿,5.81%,0.28,2.24,10.48%,2019-02-28
476,002558,巨人网络,37.80亿,30.03%,12.02亿,-6.87%,0.59,4.53,13.41%,2019-02-28
477,300203,聚光科技,40.03亿,35.05%,6.03亿,34.65%,1.33,7.76,17.79%,2019-02-28
478,002769,普路通,57.72亿,7.13%,1.04亿,52.65%,0.29,3.59,7.92%,2019-02-28
479,002696,百洋股份,31.69亿,32.45%,"3,087.92万",-72.88%,0.08,5.46,1.41%,2019-02-28
480,002543,万和电气,68.43亿,4.93%,5.08亿,25.32%,0.89,5.78,15.55%,2019-02-28
481,300216,千山药机,2.00亿,-35.82%,-22.60亿,--,-6.25,-4.40,-492.59%,2019-02-28
482,300176,派生科技,34.22亿,15.19%,3.66亿,-24.95%,0.94,3.47,29.99%,2019-02-28
483,300177,中海达,13.03亿,29.55%,"9,564.25万",43.68%,0.21,4.07,5.50%,2019-02-28
484,002541,鸿路钢构,78.79亿,58.93%,4.15亿,101.86%,0.79,8.44,9.83%,2019-02-28
485,002545,东方铁塔,22.02亿,7.43%,4.08亿,45.08%,0.32,5.89,5.65%,2019-02-28
486,300175,朗源股份,3.50亿,-9.08%,"5,103.14万",28.69%,0.11,1.72,5.98%,2019-02-28
487,002537,海联金汇,50.42亿,26.83%,1.41亿,-65.63%,0.12,5.28,2.12%,2019-02-28
488,300174,元力股份,17.02亿,99.47%,"8,259.30万",69.35%,0.34,2.63,13.61%,2019-02-28
489,300166,东方国信,19.84亿,28.09%,5.16亿,19.02%,0.50,4.69,11.07%,2019-02-28
490,002539,云图控股,78.72亿,1.84%,1.75亿,68.28%,0.17,3.07,5.69%,2019-02-28
491,002533,金杯电工,47.38亿,16.50%,1.34亿,8.35%,0.24,4.24,5.77%,2019-02-28
492,002557,洽洽食品,41.91亿,16.62%,4.33亿,36.02%,0.85,6.56,13.60%,2019-02-28
493,002535,林州重机,20.63亿,23.67%,-1.46亿,-497.26%,-0.18,3.43,-5.23%,2019-02-28
494,300159,新研股份,18.82亿,1.57%,3.15亿,-21.49%,0.21,4.31,4.79%,2019-02-28
495,300223,北京君正,2.60亿,40.77%,"1,351.54万",119.76%,0.07,5.69,1.19%,2019-02-28
496,002702,海欣食品,11.45亿,18.28%,"3,407.63万",--,0.07,1.67,4.33%,2019-02-28
497,300153,科泰电源,13.24亿,22.23%,"2,240.74万",-29.75%,0.07,3.01,2.32%,2019-02-28
498,002528,英飞拓,43.19亿,48.27%,1.44亿,14.44%,0.13,3.05,4.37%,2019-02-28
499,300151,昌红科技,6.92亿,16.40%,"5,579.11万",66.80%,0.11,1.74,6.40%,2019-02-28
500,002547,春兴精工,49.10亿,29.42%,"4,054.17万",--,0.04,2.41,1.50%,2019-02-28
501,002522,浙江众成,10.49亿,65.14%,"3,591.60万",-49.63%,0.04,1.97,2.00%,2019-02-28
502,002519,银河电子,15.21亿,-7.93%,-10.64亿,-636.87%,-0.94,2.21,-35.05%,2019-02-28
503,002517,恺英网络,22.85亿,-27.09%,1.65亿,-89.77%,0.08,2.23,3.43%,2019-02-28
504,002516,旷达科技,17.69亿,-24.18%,2.31亿,-39.48%,0.15,2.52,5.76%,2019-02-28
505,002515,金字火腿,4.19亿,12.45%,-990.08万,-109.34%,-0.01,1.42,-0.65%,2019-02-28
506,002513,蓝丰生化,14.82亿,-19.93%,-8.63亿,"-2,555.68%",-2.54,4.91,-41.10%,2019-02-28
507,002514,宝馨科技,8.07亿,46.95%,"9,783.52万",144.66%,0.18,1.71,10.82%,2019-02-28
508,300143,星普医科,5.04亿,53.09%,"5,424.96万",-64.26%,0.10,3.69,2.44%,2019-02-28
509,002509,天广中茂,24.12亿,-35.34%,1.07亿,-83.70%,0.04,2.06,2.10%,2019-02-28
510,002738,中矿资源,8.67亿,60.36%,1.12亿,105.32%,0.53,8.55,9.50%,2019-02-28
511,002511,中顺洁柔,56.79亿,22.43%,4.04亿,15.89%,0.32,2.57,12.63%,2019-02-28
512,002505,大康农业,143.58亿,16.00%,-6.69亿,"-2,915.32%",-0.12,0.85,-13.19%,2019-02-28
513,300141,和顺电气,7.96亿,43.81%,954.25万,73.38%,0.04,2.69,1.32%,2019-02-28
514,002499,*ST科林,"8,256.39万",-90.68%,-5.39亿,"-1,394.23%",-2.85,1.06,-114.24%,2019-02-28
515,002697,红旗连锁,72.20亿,4.12%,3.15亿,91.38%,0.23,1.92,12.82%,2019-02-28
