序号,代码,名称,营业收入,同比增长,净利润,同比增长,基本每股收益,每股净资产,净资产收益率,公告日期
60,000735,罗牛山,11.49亿,-11.48%,3.90亿,155.61%,0.34,3.41,10.38%,2019-04-13
61,000701,厦门信达,649.31亿,--,"2,435.69万",--,-0.23,6.82,-2.67%,2019-04-13
62,000692,惠天热电,19.08亿,--,631.76万,--,0.01,2.64,0.47%,2019-04-13
63,000691,亚太实业,"3,917.21万",--,"1,110.71万",--,0.03,0.26,13.89%,2019-04-13
64,000687,华讯方舟,15.18亿,--,-4.88亿,--,-0.64,1.30,-39.53%,2019-04-13
65,000685,中山公用,20.37亿,26.72%,6.86亿,-36.57%,0.47,8.33,5.63%,2019-04-13
66,000678,襄阳轴承,14.91亿,-2.07%,"-5,968.42万",-615.73%,-0.13,2.58,-4.90%,2019-04-13
67,000676,智度股份,76.74亿,20.37%,7.13亿,36.10%,0.74,6.07,13.08%,2019-04-13
68,000670,*ST盈方,1.03亿,-57.45%,-1.78亿,--,-0.22,0.24,-62.46%,2019-04-13
69,000668,荣丰控股,2.48亿,-7.97%,882.81万,-17.53%,0.06,6.11,1.43%,2019-04-13
70,000663,永安林业,6.67亿,-46.19%,-13.28亿,"-2,032.28%",-3.90,2.41,-89.32%,2019-04-13
71,000659,珠海中富,16.39亿,--,"2,240.08万",--,0.02,0.53,3.35%,2019-04-13
72,000638,万方发展,1.19亿,-8.74%,-1.52亿,-902.81%,-0.49,0.41,-81.39%,2019-04-13
73,000637,茂化实华,43.20亿,-1.99%,"3,672.87万",-62.50%,0.07,1.65,3.99%,2019-04-13
74,000622,恒立实业,1.95亿,232.70%,315.26万,--,0.01,--,1.67%,2019-04-13
75,000620,新华联,140.01亿,--,11.86亿,--,0.63,3.95,16.91%,2019-04-13
76,000612,焦作万方,49.09亿,--,-4.42亿,--,-0.37,3.54,-9.92%,2019-04-13
77,000607,华媒控股,17.49亿,-4.54%,1.05亿,-28.46%,0.10,1.86,5.71%,2019-04-13
78,000593,大通燃气,6.31亿,26.58%,-1.86亿,-844.11%,-0.52,2.57,-18.32%,2019-04-13
79,000592,平潭发展,9.35亿,10.26%,"2,636.15万",341.48%,0.01,1.65,0.83%,2019-04-13
80,000590,启迪古汉,1.86亿,--,"-3,818.04万",--,-0.16,2.42,-6.77%,2019-04-13
81,000589,贵州轮胎,63.97亿,-8.22%,"8,817.31万",--,0.11,4.40,2.62%,2019-04-13
82,000571,*ST大洲,15.42亿,--,-8.38亿,--,-1.03,1.68,-47.24%,2019-04-13
83,000534,万泽股份,2.58亿,--,"6,122.79万",--,0.12,3.11,3.97%,2019-04-13
84,000533,顺钠股份,95.59亿,--,-9.30亿,--,-1.34,0.93,-83.16%,2019-04-13
85,000509,华塑控股,12.09亿,-46.04%,"-5,372.09万",-529.56%,-0.07,0.01,-175.95%,2019-04-13
86,000506,中润资源,4.96亿,-35.45%,"4,218.98万",--,0.05,1.13,4.09%,2019-04-13
87,000503,国新健康,"9,548.00万",-48.11%,-1.88亿,"-1,226.01%",-0.21,1.35,-14.33%,2019-04-13
88,000428,华天酒店,9.58亿,-9.87%,-4.78亿,-538.33%,-0.47,2.49,-17.23%,2019-04-13
89,000410,沈阳机床,50.15亿,--,-7.92亿,--,-1.03,0.10,-168.77%,2019-04-13
90,000409,*ST地矿,30.65亿,--,"3,108.79万",--,0.06,1.93,3.66%,2019-04-13
91,000155,川能动力,42.72亿,-34.37%,3.01亿,-7.37%,0.24,2.57,9.51%,2019-04-13
92,000068,华控赛格,2.06亿,-50.14%,-1.33亿,-507.56%,-0.13,0.52,-22.53%,2019-04-13
93,000066,中国长城,100.09亿,--,9.87亿,--,0.34,2.13,15.08%,2019-04-13
94,000061,农产品,23.02亿,--,"4,276.71万",--,0.03,2.90,0.87%,2019-04-13
95,000059,华锦股份,366.83亿,--,10.55亿,--,0.66,8.24,8.32%,2019-04-13
96,000045,深纺织A,12.72亿,-12.41%,"-2,298.06万",-144.67%,-0.04,4.64,-0.96%,2019-04-13
97,000023,深天地A,16.11亿,31.09%,"2,632.00万",-13.70%,0.19,3.11,6.24%,2019-04-13
98,000019,深粮控股,107.59亿,"3,307.24%",3.14亿,--,0.27,3.63,7.84%,2019-04-13
99,000010,*ST美丽,3.45亿,-54.42%,-7.32亿,--,-0.89,0.51,-81.82%,2019-04-13
100,000009,中国宝安,117.84亿,--,2.00亿,--,0.09,2.43,3.92%,2019-04-13
101,000007,全新好,"4,244.38万",7.06%,-1.96亿,"-1,292.55%",-0.57,0.55,-67.94%,2019-04-13
102,000005,世纪星源,4.90亿,-4.11%,1.71亿,998.48%,0.16,1.43,12.16%,2019-04-13
103,603601,再升科技,10.82亿,67.49%,1.59亿,37.67%,0.29,2.45,12.63%,2019-04-12
104,000995,*ST皇台,"2,548.34万",-46.47%,"-8,675.28万",--,-0.49,-1.29,--,2019-04-12
105,000931,中关村,17.74亿,1.88%,"9,314.02万",530.07%,0.12,2.24,5.67%,2019-04-12
106,000923,河北宣工,49.72亿,-7.95%,1.31亿,-52.47%,0.20,9.69,2.03%,2019-04-12
